word,count
service,14066
credit,8910
platinum,7499
payment,7429
gold,7186
delta,6042
account,5429
transaction,3965
offers,3675
call,2646
email,2374
points,2357
pay,2074
2,1953
bonus,1949
cards,1850
experience,1708
skymiles,1596
made,1583
business,1581
miles,1578
due,1576
called,1556
never,1546
purchase,1490
rewards,1466
days,1444
billing,1415
way,1395
already,1351
3,1326
charge,1315
address,1289
getting,1280
could,1270
travel,1268
1,1264
today,1262
used,1260
why,1258
issue,1228
says,1227
yes,1220
tried,1213
hold,1202
said,1184
statement,1173
money,1164
receive,1160
last,1157
